wavenumber,mean_absorbance,sd_absorbance,cv_percent
2966.65269,0.022019999999999998,2.0248456731316577e-4,0.919548443747347
2964.72253,0.0222225,1.9922767545365474e-4,0.8965133331247822
2962.79238,0.02241,2.0066555924389782e-4,0.8954286445510836
2960.86222,0.022595000000000004,2.080865204668478e-4,0.92094056413741
2958.93206,0.0227925,2.0998015779274693e-4,0.9212686532532496
2957.0019,0.022985,2.037154878746338e-4,0.8862975326283828
2955.07174,0.0232,1.9815818596935809e-4,0.8541301119368884
2953.14159,0.0234125,2.0726392192886188e-4,0.885270355275438
2951.21143,0.02364,2.0896570691543364e-4,0.8839496908436278
2949.28127,0.023885000000000003,2.080865204668478e-4,0.8712016766457935
2947.35111,0.024145,2.080865204668478e-4,0.8618203374067004
2945.42096,0.0244225,2.118765363759443e-4,0.8675464689362036
2943.4908,0.024717499999999996,2.1281838892977877e-4,0.8610028883575556
2941.56064,0.025017499999999998,2.1746647251166503e-4,0.8692574098597583
2939.63048,0.0253175,2.2396056200441516e-4,0.8846077298485836
2937.70032,0.025625000000000002,2.2810816147900747e-4,0.8901781911375901
2935.77017,0.025935000000000003,2.2128413107737007e-4,0.853225876527357
2933.84001,0.026225,2.193171219946126e-4,0.8362902649937564
2931.90985,0.026494999999999998,2.193171219946126e-4,0.8277679637464148
2929.97969,0.026755,2.3043437243605924e-4,0.8612759201497261
2928.04953,0.0269725,2.3893862531341886e-4,0.8858601364850083
2926.11938,0.027164999999999998,2.4186773244895676e-4,0.890365295228996
2924.18922,0.027305000000000003,2.3699507730471197e-4,0.8679548701875551
2922.25906,0.0274025,2.3414738947936147e-4,0.8544745533413428
2920.3289,0.0274625,2.3414738947936278e-4,0.8526076995152035
2918.39874,0.0274775,2.3514180118955122e-4,0.8557612635412656
2916.46859,0.027442499999999998,2.295466546623294e-4,0.8364640782083608
2914.53843,0.0273675,2.2201726659579264e-4,0.8112442371272226
2912.60827,0.027275,2.3699507730471327e-4,0.8689095409888662
2910.67811,0.027159999999999997,2.3804761428476104e-4,0.8764639701206226
2908.74796,0.027030000000000002,2.3622023622035508e-4,0.8739187429535888
2906.8178,0.02688,2.3137271518771003e-4,0.8607615892399926
2904.88764,0.02673,2.267156809750919e-4,0.8481694013284397
2902.95748,0.0265725,2.2765104875664336e-4,0.8567167137327815
2901.02732,0.02642,2.1832697191750473e-4,0.8263700678179589
2899.09717,0.0262625,2.21265300789196e-4,0.8425142343234497
2897.16701,0.026125,2.2575798250929383e-4,0.8641453875953831
2895.23685,0.025997500000000003,2.3514180118955254e-4,0.9044785121244447
2893.30669,0.025882499999999996,2.2765104875664403e-4,0.8795558727195752
2891.37653,0.025775,2.2810816147900807e-4,0.8849977166983825
2889.44638,0.0256775,2.242580359020979e-4,0.8733639797569777
2887.51622,0.025595,2.1931712199461324e-4,0.8568748661637556
2885.58606,0.0255275,2.1561926320870964e-4,0.8446548357994696
2883.6559,0.0254675,2.1561926320870896e-4,0.8466447951652457
2881.72574,0.0254225,2.163908500838243e-4,0.8511784839564334
2879.79559,0.025389999999999996,2.267156809750919e-4,0.8929329695749978
2877.86543,0.0253725,2.1838421798899864e-4,0.8607122592925358
2875.93527,0.025365000000000002,2.1455380055672102e-4,0.8458655649782022
2874.00511,0.025355000000000003,2.145538005567216e-4,0.8461991739567012
2872.07495,0.0253425,2.1838421798899926e-4,0.8617311551307063
2870.1448,0.0253325,2.163908500838243e-4,0.8542025069922996
2868.21464,0.0253225,2.1639085008382333e-4,0.8545398364451507
