variable,wavenumber,VIP_comp1,VIP_comp2,VIP_comp3,VIP_max
wn_1038.42,1038.42,1.6463967746813086,1.3772505015453593,1.301461500008334,1.6463967746813086
wn_999.82,999.82,1.6460118382120188,1.380887358080104,1.3143357127647664,1.6460118382120188
wn_984.38,984.38,1.6451038987538216,1.3887004636271172,1.3290060494414897,1.6451038987538216
wn_967.01,967.01,1.6449447263225747,1.3736823768406867,1.3245437547295176,1.6449447263225747
wn_997.89,997.89,1.6444684977006172,1.3816537625082628,1.3160234912685331,1.6444684977006172
wn_986.31,986.31,1.643881514799915,1.3878682930571105,1.3273375476867861,1.643881514799915
wn_1040.36,1040.36,1.6437201256858223,1.3769087322506937,1.3010828094313114,1.6437201256858223
wn_995.96,995.96,1.643269761122283,1.3825447549490613,1.3178202760690785,1.643269761122283
wn_988.24,988.24,1.6429240446034297,1.3868507815781113,1.32550123363844,1.6429240446034297
wn_994.03,994.03,1.6424943037205677,1.3835456545032232,1.319700902406713,1.6424943037205677
wn_990.17,990.17,1.6423348908827653,1.3857455416946518,1.3235798742405802,1.6423348908827653
wn_992.1,992.1,1.642181343586694,1.3846261501659143,1.321632551297331,1.642181343586694
wn_965.08,965.08,1.641680283647627,1.3687003462947074,1.3212530001851617,1.641680283647627
wn_1042.29,1042.29,1.6407248828737349,1.3764543289776505,1.3006036799500003,1.6407248828737349
wn_963.15,963.15,1.637623748970257,1.3631119385003503,1.3174923768346722,1.637623748970257
wn_1044.22,1044.22,1.637366598475701,1.3758413822594624,1.299974456945473,1.637366598475701
wn_891.73,891.73,1.6371577855049935,1.3210224269559718,1.2764406828336692,1.6371577855049935
wn_893.66,893.66,1.6338517824438237,1.3187961434723616,1.2817620126514695,1.6338517824438237
wn_1046.15,1046.15,1.6336142776958968,1.375021956109309,1.2991434826012942,1.6336142776958968
wn_961.22,961.22,1.6328751902884389,1.3570306332459736,1.3133849598150937,1.6328751902884389
wn_889.8,889.8,1.6307846974611497,1.3153402420062519,1.2627915221267425,1.6307846974611497
wn_1048.08,1048.08,1.6294668370917686,1.3739587751137863,1.298069963565278,1.6294668370917686
wn_959.29,959.29,1.627589635472752,1.350590830775424,1.3090614232359479,1.627589635472752
wn_895.59,895.59,1.6258698892669254,1.3127016228968043,1.2822774755460422,1.6258698892669254
wn_1050.01,1050.01,1.6249700305482475,1.3726380715359878,1.2967369997692633,1.6249700305482475
wn_957.36,957.36,1.6219625237963777,1.3439452210122511,1.304656764164903,1.6219625237963777
wn_1051.94,1051.94,1.6202161010097307,1.371070529917214,1.2951523886079535,1.6202161010097307
wn_897.52,897.52,1.6166023138350722,1.3054732030262288,1.280485015992252,1.6166023138350722
wn_955.43,955.43,1.6162216071877735,1.3372676064056486,1.3003139838373377,1.6162216071877735
wn_1053.87,1053.87,1.615309216181839,1.3692714291223111,1.2933286784143976,1.615309216181839
wn_953.5,953.5,1.6106274420884457,1.3307511187450929,1.2961785237520038,1.6106274420884457
wn_1055.8,1055.8,1.6103236156316836,1.3672347483738787,1.2912574723797818,1.6103236156316836
wn_887.87,887.87,1.6081685302058488,1.2964487106631792,1.2364658691501829,1.6081685302058488
wn_899.45,899.45,1.6081354015711438,1.298789418595089,1.2780054631291462,1.6081354015711438
wn_951.57,951.57,1.6054495892003706,1.3245864335740247,1.292377842672542,1.6054495892003706
wn_1057.73,1057.73,1.6052884920486377,1.364923579678441,1.2889008216349842,1.6052884920486377
wn_916.83,916.83,1.604311571943577,1.2939494945150198,1.2761322927159984,1.604311571943577
wn_918.76,918.76,1.6042441788206194,1.293907218349255,1.2757600222539196,1.6042441788206194
wn_914.89,914.89,1.6033718217101727,1.2933423209397565,1.2761578292292617,1.6033718217101727
wn_920.69,920.69,1.6032952865968226,1.2933635582412943,1.2751822417599792,1.6032952865968226
wn_922.62,922.62,1.6017588731809798,1.2925886260067065,1.2745810289997739,1.6017588731809798
wn_901.38,901.38,1.6015862426275218,1.2935471660092528,1.275793857468853,1.6015862426275218
wn_912.96,912.96,1.6015532189008026,1.2921339515947696,1.2757955129938203,1.6015532189008026
wn_949.64,949.64,1.6009224784342828,1.3189334513800008,1.2890094108822883,1.6009224784342828
wn_1059.66,1059.66,1.6001914436508713,1.3622755948905305,1.2861985353844239,1.6001914436508713
wn_924.55,924.55,1.599964864403759,1.2918713671538162,1.2741168832890735,1.599964864403759
wn_911.03,911.03,1.599242287630597,1.2905832956917669,1.2751342367117395,1.599242287630597
wn_926.48,926.48,1.5981819415713998,1.2914484700614812,1.273900889123766,1.5981819415713998
wn_903.31,903.31,1.5973907142171961,1.290100290626814,1.2743228982836758,1.5973907142171961
wn_947.71,947.71,1.5972230516584114,1.3139089178756818,1.2861446632104678,1.5972230516584114
wn_909.1,909.1,1.5970225553256812,1.2891162171580093,1.2743814474332111,1.5970225553256812
wn_928.41,928.41,1.5964737646545384,1.2913747104987512,1.2739676984430963,1.5964737646545384
wn_907.17,907.17,1.5955629577091752,1.2882339026413185,1.2738102847627335,1.5955629577091752
wn_905.24,905.24,1.595504384818454,1.2884225387267612,1.2737061920554114,1.595504384818454
wn_1061.59,1061.59,1.5949725979913096,1.359205687231265,1.2830724668691118,1.5949725979913096
wn_930.34,930.34,1.5949338809226248,1.2917355214289374,1.2743392713951385,1.5949338809226248
wn_945.78,945.78,1.5944593163323373,1.309574304887691,1.2838161747202341,1.5944593163323373
wn_932.27,932.27,1.593631970142332,1.292582082133323,1.2749991690824813,1.593631970142332
wn_943.85,943.85,1.5926427274307948,1.3059136405937917,1.2819851883988727,1.5926427274307948
wn_934.2,934.2,1.5926195953727307,1.2939224288173232,1.2758996525313073,1.5926195953727307
wn_936.13,936.13,1.5919030778008936,1.2956952154489172,1.2769648860369511,1.5919030778008936
wn_941.92,941.92,1.5916677855601749,1.3028259792150825,1.2805294341346731,1.5916677855601749
wn_938.06,938.06,1.591465265004307,1.2977964619154936,1.2781082611909886,1.591465265004307
wn_939.99,939.99,1.5913424226283615,1.300161793967574,1.2792820751698728,1.5913424226283615
wn_1063.52,1063.52,1.5895074293680485,1.355597718567621,1.2794188042866086,1.5895074293680485
wn_1065.45,1065.45,1.5836109421891231,1.3513069700980378,1.275110095472048,1.5836109421891231
wn_1067.38,1067.38,1.5770743199371826,1.3461873822417518,1.270021628978617,1.5770743199371826
wn_1069.31,1069.31,1.5696968066597288,1.3401256875677838,1.2640643590796672,1.5696968066597288
wn_1227.58,1227.58,1.5671806288245893,1.2587183116549052,1.231660210357683,1.5671806288245893
