cluster,wavenumber,median_absorbance,q25_absorbance,q75_absorbance,mean_absorbance,n
1,3099.833587169647,0.024693509563803673,0.022775639779865742,0.027765695936977863,0.0254279096921285,15
1,3097.9034292697906,0.02464095689356327,0.022724340669810772,0.027688943780958652,0.02535202503204346,15
1,3095.973271369934,0.02459142915904522,0.022672463208436966,0.027614987455308437,0.02527818940579891,15
1,3094.0431134700775,0.0245443694293499,0.022619115188717842,0.027541762217879295,0.025204898168643314,15
1,3092.112955570221,0.024498336017131805,0.022563313134014606,0.02746718004345894,0.025130432471632956,15
1,3090.1827976703644,0.02445075660943985,0.02250367496162653,0.027389110065996647,0.025052982568740844,15
1,3088.252639770508,0.024398861452937126,0.022439020685851574,0.027305579744279385,0.02497080477575461,15
1,3086.3224818706512,0.024340901523828506,0.022368961945176125,0.027215175330638885,0.024882479508717855,15
1,3084.3923239707947,0.024276506155729294,0.022293810732662678,0.02711746282875538,0.024787381912271183,15
1,3082.462166070938,0.024206150323152542,0.0222144965082407,0.02701341174542904,0.024686103189984956,15
1,3080.5320081710815,0.02413092739880085,0.022132989950478077,0.026905600912868977,0.024580585459868114,15
1,3078.601850271225,0.024052871391177177,0.022052236832678318,0.026797419413924217,0.024473655844728152,15
1,3076.6716923713684,0.023974381387233734,0.021974761970341206,0.026691322214901447,0.0243677648405234,15
